JIP Classification		"Real gross output (million yen, in chain-linked 2011 prices)"																					
No.	Industry Name	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
91	Public administration	30597457.95	31823971.31	32158160.05	32659433.14	33210504.72	34000267.25	34912043.25	36014806.93	36783569.37	37645774.8	37764660.19	37318565.73	36852963.95	37004987.58	36702391.05	37243918.16	37988909.12	38126185	38123828	38743869.44	38461089.96	38612812.99
92	Education	19526785.82	19969108.28	20224664.83	20266658.19	20246279.78	20440391.1	20513702.62	20769036.53	21105935.29	21374245.08	21444338.39	21639331.19	21740899.23	21865926.93	21932842.94	22303775.92	22303816.2	22699444	22973155	22992502.54	23105520.14	23353360.12
93	"Medical service, health and hygiene"	28434591.37	29782184.6	30854219.05	31469415.45	31767717.19	33498422.01	33749683.26	33032656.47	32668812.96	32349091.51	32025167.65	33017075.86	33581756.02	34246101.91	35045373.14	36069419.34	37128960.36	38423420	39448708	40126421.02	40696789.11	41997679.71
94	Social insurance and social welfare	6659642.703	7092247.193	7426836.254	7739809.655	8532225.056	8935671.901	7933534.458	7913783.926	7935846.318	7883148.592	7945580.799	8006890.987	8280694.314	7869386.653	7508386.344	7452984.523	7514693.778	7928092	8471571	8714521.1	8496075.394	8984189.536
95	Nursing care	2658441.116	2658441.116	2658441.116	2658441.116	2658441.116	2658441.116	2658441.116	4105087.29	4716300.66	5326995.945	5959682.113	6247508.108	6312356.963	6637142.612	6967849.402	7348203.759	7762799.474	8148726	8789033	9244784.698	9625438.639	10148291.21
96	Entertainment	12306054.01	11647227.83	11598257.63	11137407.81	10628183.29	10347641.15	10872011.54	10744712.06	10940679.39	10675381.84	10570530.17	10452189.16	10541631.55	10138366.14	9760117.511	9731381.472	9411274.279	9148071	9602557	9764597.711	9538100.512	9314036.982
97	"Laundry, beauty and bath services"	5011265.7	4927464.861	5296642.769	5595776.93	5785846.009	6164448.406	6577534.16	6463171.871	6389192.747	6314386.992	6466315.223	6327973.188	6313070.206	6409879.655	6542227.028	6266334.646	6160562.923	6026848	6133810	6149654.679	6115534.463	6010411.906
98	Other services for individuals	5853220.35	5819011.415	6091486.673	6178603.764	6325939.928	6557945.705	7430721.995	7452273.73	7499117.95	7724676.51	7879660.749	7935880.172	8133838.582	8050493.105	8050076.795	7930782.603	7864771.16	7897698	7877970	7793022.509	7652647.087	7644028.729
99	Membership organizations	4649371.07	4612495.368	4622373.272	4403722.111	4534158.33	4231576.108	4082035.778	3813150.603	4436628.397	4740762.038	4957421.375	4864910.092	4677670.825	4990852.027	4637931.789	4427472.744	4495464.056	4921618	4938840	4819986.622	4501820.544	4255664.054
100	Activities not elsewhere classified	4401173.489	4422665.641	4318109.129	4165885.057	3861469.067	3724972.814	3588405.493	3492279.524	3441543.848	3493775.782	3536241.34	3520004.96	3692906.045	3913614.306	4337428.568	4377774.495	4835528.26	5064310	5201072	4921448.835	4892373.494	4879048.279
