JIP Classification		"Real gross output (million yen, in chain-linked 2011 prices)"																					
No.	Industry Name	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
23	Petroleum products	25003926.53	24561567.89	26838976.65	27779514.23	26960320.58	25716506.94	24218215.28	23781828.76	22494442.98	21800863.19	21149579.15	21431875.34	20873639.99	20991815.38	19205213.25	21744311.15	20652374.23	18524895	19572511	19125800.49	18698672.71	19469738.58
24	Coal products	2934365.653	3035969.479	3632147.124	2999108.891	3187152.78	2736494.607	3125324.285	3018125.34	2810289.123	2792629.542	2419951.76	2201133.377	2488238.961	2375862.895	2157365.516	2023452.931	2210571.646	2083836	2109202	2026703.36	2053992.418	1915561.104
25	Glass and its products	1350009.422	1372554.416	1402604.164	1438692.167	1315850.618	1278564.707	1380628.574	1334794.216	1298711.36	1360802.675	1559518.662	1495000.112	1648472.543	1847528.068	1833578.047	1247231.405	1708570.162	1686391	1368978	1317582.808	1274493.05	1235196.474
26	Cement and its products	5374466.418	5211527.163	5276838.451	5130672.007	4737144.28	4532319.915	4506275.467	4294848.478	4047892.924	3743752.336	3532133.965	3464400.349	3408967.262	3295592.007	2924839.148	2522115.383	2328791.5	2392385	2463494	2546186.108	2552104.054	2380826.548
27	Pottery	755522.1703	839730.3781	879347.4698	932415.334	834908.8406	794355.0938	757237.8905	796262.9638	643755.2124	686023.9032	671389.1244	704075.0026	699538.7432	845842.0628	844356.3229	611820.3845	651374.7659	742143	686907	760279.3254	745840.1226	773835.1803
28	"Miscellaneous ceramic, stone and clay products"	2224766.295	2223960.863	2267326.512	2239179.366	2159682.425	1990942.933	2064150.156	2079176.933	1924959.316	1955950.407	1971584.862	2021487.036	2017587.14	2025067.776	1921117.933	1464398.364	1651939.021	1719391	1610761	1515562.019	1705870.633	1641443.415
29	Pig iron and crude steel	19784970.36	20864744.53	20561188.85	21698299.85	18867463.92	16438054.44	18929481.09	19592930.88	19387893.92	19610188.32	21048857.59	23607920.76	24760565.52	26524075.97	26991509.26	20678565.76	24715124.05	23406983	24822827	24554225.66	24697618.72	23396395.88
30	Miscellaneous iron and steel	13561741.45	12930654.01	12365047.09	12656483.5	11367270.49	11547988.04	11846847.6	10570023.22	9554204.866	9571923.7	9896540.827	9996936.429	10497198.45	10952988.48	9932013.379	7512541.751	8914693.848	8480645	9059626	8995823.852	8992082.112	8729093.458
31	Smelting and refining of non-ferrous metals	2692410.163	2860765.434	3181903.836	2988120.99	2802912.348	3010661.281	3392495.091	3489516.054	3554936.79	3467337.384	3222042.35	3271085.177	2570696.99	3005139.415	2988321.87	2793269.787	3557868.75	3498214	3585335	3219683.421	3474614.578	3588923.126
32	Non-ferrous metal products	6645457.712	6767741.207	7002530.933	7337966.381	6748203.344	6378761.771	6710178.727	6259422.33	6035187.309	6009471.647	6268819.517	6317318.998	6577283.571	6963148.658	7045443.268	5442102.547	6015183.361	5828818	5704044	5424927.169	5578918.937	5652985.362
33	Fabricated constructional and architectural metal products	6773318.152	6819407.216	7080375.155	6915700.459	6751130.939	6240876.732	5898087.803	5760562.754	5617387.561	5113514.66	4696589.339	4961442.67	4920058.448	4773139.626	4440291.691	4131237.398	3647673.79	3157118	3599308	3678695.128	3648722.784	3549979.271
